iter	RMSE
0	18227.83648
1	17493.71944
2	16775.71783
3	15973.70783
4	15389.93829
5	14889.11096
6	14350.67518
7	13946.59003
8	13587.4092
9	13143.55186
10	12885.15009
11	12613.62732
12	12420.00414
13	12186.87519
14	11983.64223
15	11773.97841
16	11601.59205
17	11412.99321
18	11237.63463
19	11154.84638
20	11062.43851
21	10896.56055
22	10808.28913
23	10705.48896
24	10547.10558
25	10429.3484
26	10338.45336
27	10215.31526
28	10162.09963
29	10115.33506
30	10037.48732
31	9999.158204
32	9883.67552
33	9780.180393
34	9705.314957
35	9669.325147
36	9624.206572
37	9553.868519
38	9492.272504
39	9414.269123
40	9356.613394
41	9304.230178
42	9248.578572
43	9187.45799
44	9149.106018
45	9097.131359
46	9065.491845
47	9012.196153
48	8931.097606
49	8921.225577
50	8889.896117
51	8869.055608
52	8829.651538
53	8807.766209
54	8771.645519
55	8735.339948
56	8704.690482
57	8667.405435
58	8653.544223
59	8641.181793
60	8612.143857
61	8532.348287
62	8516.601759
63	8502.875099
64	8414.752146
65	8395.041025
66	8345.223457
67	8321.312448
68	8300.07577
69	8270.297269
70	8258.205026
71	8226.398042
72	8196.970181
73	8169.742154
74	8143.579648
75	8094.81892
76	8074.357609
77	8048.832599
78	8000.326574
79	7960.145748
80	7923.638006
81	7898.744396
82	7875.307853
83	7841.121788
84	7825.342252
85	7796.139123
86	7763.395546
87	7749.346046
88	7711.625051
89	7680.449902
90	7602.267306
91	7558.681835
92	7525.236516
93	7519.581523
94	7505.124012
95	7488.204336
96	7468.621298
97	7450.081456
98	7402.689136
99	7389.837711
100	7369.239844
101	7357.954264
102	7321.429336
103	7303.141433
104	7287.937013
105	7257.691077
106	7235.62975
107	7217.561736
108	7199.041855
109	7189.190236
110	7179.380744
111	7170.209243
112	7146.088327
113	7140.651678
114	7117.679146
115	7098.377767
116	7095.438271
117	7088.127117
118	7071.027098
119	7056.137456
120	7036.661268
121	7020.740153
122	7018.45075
123	6961.409457
124	6932.781503
125	6906.808777
126	6894.087782
127	6863.798963
128	6845.596502
129	6839.299057
130	6823.26269
131	6814.933495
132	6799.730378
133	6748.959655
134	6731.9148
135	6709.897967
136	6688.014873
137	6672.505768
138	6654.813526
139	6628.445914
140	6610.190418
141	6602.883146
142	6591.615346
143	6589.772483
144	6581.914862
145	6577.276439
146	6569.859736
147	6563.984699
148	6514.235949
149	6490.377205
150	6487.570958
151	6480.746176
152	6475.814213
153	6469.161874
154	6424.292526
155	6418.59339
156	6370.355341
157	6352.366977
158	6314.02932
159	6309.234707
160	6280.402469
161	6264.526333
162	6254.426407
163	6213.133069
164	6191.613777
165	6175.786447
166	6171.131463
167	6152.321261
168	6134.867121
169	6128.974593
170	6123.218349
171	6111.853572
172	6106.40938
173	6095.60713
174	6090.448731
175	6073.476402
176	6042.81434
177	6042.531571
178	6039.894689
179	6029.331768
180	6020.300031
181	6018.976834
182	6004.066949
183	5960.910347
184	5929.019867
185	5915.18439
186	5899.576876
187	5868.508798
188	5859.167183
189	5824.879619
190	5809.03315
191	5799.732242
192	5790.553326
193	5785.13208
194	5772.262891
195	5744.510198
196	5733.39376
197	5706.783548
198	5699.091172
199	5692.458332
200	5676.872975
201	5669.535703
202	5657.366728
203	5620.530592
204	5592.537002
205	5577.125381
206	5570.296935
207	5550.732182
208	5536.033582
209	5530.997085
210	5504.829317
211	5496.2226
212	5488.027397
213	5464.367368
214	5455.386738
215	5441.806073
216	5436.772446
217	5414.895231
218	5410.467719
219	5401.734425
220	5391.298711
221	5360.661083
222	5336.684027
223	5308.112599
224	5301.158174
225	5277.441826
226	5261.40836
227	5259.465102
228	5236.42311
229	5229.87571
230	5224.819412
231	5205.056926
232	5183.036386
233	5170.821105
234	5154.729352
235	5152.388504
236	5146.199238
237	5126.562782
238	5120.017718
239	5109.25742
240	5106.196977
241	5100.316998
242	5090.690827
243	5082.217455
244	5077.162367
245	5071.953925
246	5054.971075
247	5044.786971
248	5002.364848
249	4997.885288
250	4993.61575
251	4989.725093
252	4977.153009
253	4956.683767
254	4950.775335
255	4933.366084
256	4930.793188
257	4923.418526
258	4910.083731
259	4903.322097
260	4896.100502
261	4888.919258
262	4878.318699
263	4865.973356
264	4855.426748
265	4852.722177
266	4845.659589
267	4839.177023
268	4832.917248
269	4820.898953
270	4808.323837
271	4806.064014
272	4804.187089
273	4793.758814
274	4791.629435
275	4780.022218
276	4746.57382
277	4740.855467
278	4719.880016
279	4706.847765
280	4696.272405
281	4687.235451
282	4668.598759
283	4659.566953
284	4647.764048
285	4644.800972
286	4634.676642
287	4627.44572
288	4625.680551
289	4616.944223
290	4612.071266
291	4600.597723
292	4592.801429
293	4577.568502
294	4563.74139
295	4561.294672
296	4552.175531
297	4542.370704
298	4534.176696
299	4525.799027
300	4517.413646
301	4488.436395
302	4468.58335
303	4458.026131
304	4433.026893
305	4408.223993
306	4406.861839
307	4397.396754
308	4381.598348
309	4375.34488
310	4369.977186
311	4357.808903
312	4351.366415
313	4337.699838
314	4326.71649
315	4322.652148
316	4305.997749
317	4295.294949
318	4292.577249
319	4287.62934
320	4275.495576
321	4271.84867
322	4269.929949
323	4264.098288
324	4259.974551
325	4254.403244
326	4251.545969
327	4245.549005
328	4232.142797
329	4221.333315
330	4217.650493
331	4216.010454
332	4195.845184
333	4188.446982
334	4152.49051
335	4143.777957
336	4129.47305
337	4118.468938
338	4114.167656
339	4102.138235
340	4094.29003
341	4089.788524
