iter	Passed	Remaining
0	72	72680
1	119	59696
2	166	55423
3	210	52296
4	254	50645
5	315	52267
6	374	53141
7	456	56663
8	555	61116
9	614	60823
10	668	60136
11	719	59272
12	775	58868
13	825	58155
14	867	56982
15	905	55676
16	954	55165
17	1004	54774
18	1054	54434
19	1109	54349
20	1157	53958
21	1204	53540
22	1251	53164
23	1297	52762
24	1342	52345
25	1381	51735
26	1416	51030
27	1451	50395
28	1489	49884
29	1528	49434
30	1570	49096
31	1612	48782
32	1651	48393
33	1685	47878
34	1719	47421
35	1760	47147
36	1802	46926
37	1853	46915
38	1901	46845
39	1948	46755
40	1992	46602
41	2037	46479
42	2084	46382
43	2123	46141
44	2162	45900
45	2199	45618
46	2241	45459
47	2275	45131
48	2307	44792
49	2344	44542
50	2377	44246
51	2414	44010
52	2445	43698
53	2480	43460
54	2519	43285
55	2566	43257
56	2607	43131
57	2643	42930
58	2674	42659
59	2707	42414
60	2743	42237
61	2780	42058
62	2815	41881
63	2854	41744
64	2889	41565
65	2923	41378
66	2955	41162
67	2988	40953
68	3021	40769
69	3057	40618
70	3095	40503
71	3135	40413
72	3175	40325
73	3214	40220
74	3261	40219
75	3312	40274
76	3365	40348
77	3409	40296
78	3450	40231
79	3498	40229
80	3546	40241
81	3588	40171
82	3627	40074
83	3660	39915
84	3697	39804
85	3729	39636
86	3763	39496
87	3797	39352
88	3833	39235
89	3868	39112
90	3913	39087
91	3961	39094
92	4010	39115
93	4060	39131
94	4118	39231
95	4160	39175
96	4196	39066
97	4230	38936
98	4262	38796
99	4297	38673
100	4333	38569
101	4363	38412
102	4394	38269
103	4426	38139
104	4460	38017
105	4492	37886
106	4524	37761
107	4563	37691
108	4603	37632
109	4645	37584
110	4684	37518
111	4719	37422
112	4753	37308
113	4786	37197
114	4820	37098
115	4852	36979
116	4886	36877
117	4918	36764
118	4951	36658
119	4985	36559
120	5022	36485
121	5056	36387
122	5088	36280
123	5120	36172
124	5161	36130
125	5195	36038
126	5245	36057
127	5281	35977
128	5319	35916
129	5355	35839
130	5390	35757
131	5427	35687
132	5459	35592
133	5491	35488
134	5526	35409
135	5561	35332
136	5594	35239
137	5627	35153
138	5659	35059
139	5695	34983
140	5728	34900
141	5761	34809
142	5792	34716
143	5827	34643
144	5866	34594
145	5898	34503
146	5929	34405
147	5964	34335
148	5996	34246
149	6029	34168
150	6063	34091
151	6098	34022
152	6135	33968
153	6173	33913
154	6211	33860
155	6247	33800
156	6281	33729
157	6313	33644
158	6345	33562
159	6378	33487
160	6410	33407
161	6441	33320
162	6473	33241
163	6506	33166
164	6539	33091
165	6572	33018
166	6604	32945
167	6637	32873
168	6668	32791
169	6702	32723
170	6735	32651
171	6768	32585
172	6801	32513
173	6833	32441
174	6866	32368
175	6899	32302
176	6932	32232
177	6963	32158
178	6994	32081
179	7029	32024
180	7063	31959
181	7095	31891
182	7129	31830
183	7161	31760
184	7192	31686
185	7229	31638
186	7261	31571
187	7294	31503
188	7327	31440
189	7358	31369
190	7391	31308
191	7424	31243
192	7455	31172
193	7487	31108
194	7521	31052
195	7554	30990
196	7587	30926
197	7619	30863
198	7653	30807
199	7686	30745
200	7720	30688
201	7752	30626
202	7785	30566
203	7817	30504
204	7847	30434
205	7878	30367
206	7910	30303
207	7943	30247
208	7975	30185
209	8004	30113
210	8035	30046
211	8069	29993
212	8097	29917
213	8124	29842
214	8155	29775
215	8194	29741
216	8238	29726
217	8277	29694
218	8311	29640
219	8337	29561
220	8364	29485
221	8390	29403
222	8414	29318
223	8441	29244
224	8468	29169
225	8498	29104
226	8526	29036
227	8552	28958
228	8580	28889
229	8606	28813
230	8632	28736
231	8658	28662
232	8689	28604
233	8720	28546
234	8747	28477
235	8774	28404
236	8804	28346
237	8832	28279
238	8858	28207
239	8885	28137
240	8912	28067
241	8937	27993
242	8964	27926
243	8990	27855
244	9018	27791
245	9044	27721
246	9070	27652
247	9096	27584
248	9122	27514
249	9149	27447
250	9174	27378
251	9201	27311
252	9228	27247
253	9255	27182
254	9281	27115
255	9307	27050
256	9335	26989
257	9362	26926
258	9390	26866
259	9417	26803
260	9443	26739
261	9474	26687
262	9510	26652
263	9548	26620
264	9586	26587
265	9624	26558
266	9662	26525
267	9696	26485
268	9732	26447
269	9767	26407
270	9797	26356
271	9823	26292
272	9848	26226
273	9877	26171
274	9904	26111
275	9930	26049
276	9958	25993
277	9983	25929
278	10012	25874
279	10040	25817
280	10066	25757
281	10092	25696
282	10120	25641
283	10156	25606
284	10193	25573
285	10229	25537
286	10266	25505
287	10301	25467
288	10339	25436
289	10376	25405
290	10412	25370
291	10449	25336
292	10489	25311
293	10524	25274
294	10558	25232
295	10592	25191
296	10624	25147
297	10651	25091
298	10677	25033
299	10704	24978
300	10731	24922
301	10761	24871
302	10791	24824
303	10817	24765
304	10845	24712
305	10872	24659
306	10908	24624
307	10934	24567
308	10966	24523
309	10994	24471
310	11021	24416
311	11048	24363
312	11074	24307
313	11102	24255
314	11128	24199
315	11152	24141
316	11178	24085
317	11210	24042
318	11239	23993
319	11267	23944
320	11295	23893
321	11329	23855
322	11365	23822
323	11406	23799
324	11448	23777
325	11494	23764
326	11534	23738
327	11577	23719
328	11616	23691
329	11654	23661
330	11687	23622
331	11723	23589
332	11756	23547
333	11788	23505
334	11821	23466
335	11853	23424
336	11882	23377
337	11911	23329
338	11938	23278
339	11964	23224
340	11992	23175
341	12019	23124
342	12046	23074
343	12071	23020
344	12098	22968
345	12125	22918
346	12152	22868
347	12177	22815
348	12205	22767
349	12235	22722
350	12261	22671
351	12291	22626
352	12319	22579
353	12345	22528
354	12371	22478
355	12397	22426
356	12425	22379
357	12450	22327
358	12476	22276
359	12503	22228
360	12530	22180
361	12557	22132
362	12583	22082
